,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
230,Brandon Gibson,WR,NA,NA,10,NA,NA,13,11,14,NA,NA,NA,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
231,James Casey,TE,NA,NA,1,NA,1,1,2,NA,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Mikel Leshoure,RB,NA,NA,11,6,NA,13,6,12,14,14,13,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Brandon Myers,TE,NA,NA,4,1,NA,4,4,4,5,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Denarius Moore,WR,NA,NA,14,15,NA,14,15,14,18,14,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Brian Hartline,WR,NA,NA,13,11,14,13,NA,12,11,14,14,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Konrad Reuland,TE,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Brian Jennings,TE,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Lance Moore,WR,NA,NA,6,NA,NA,NA,12,14,13,5,12,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Jeff King,TE,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Ryan Mathews,RB,NA,NA,13,17,15,16,NA,17,22,8,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Justin Snow,TE,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Anquan Boldin,WR,NA,NA,9,NA,NA,11,12,NA,12,13,NA,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Anthony McCoy,TE,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Jordan Cameron,TE,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Jacquizz Rodgers,RB,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Nick Novak,PK,NA,NA,NA,6,9,9,NA,9,7,11,3,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Jeremy Kerley,WR,NA,NA,NA,10,13,12,12,10,NA,11,12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Ramses Barden,WR,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Andre Roberts,WR,NA,NA,NA,6,NA,11,NA,NA,NA,NA,NA,NA,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Rob Housler,TE,NA,NA,NA,2,NA,1,1,2,3,NA,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Lamar Miller,RB,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Mike Williams,WR,NA,NA,NA,10,NA,NA,13,NA,13,12,12,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Andrew Hawkins,WR,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Craig Stevens,TE,NA,NA,NA,3,2,1,2,1,NA,2,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Todd Heap,TE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
