,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
30,Phil Dawson,PK,10,7,10,10,2,5,4,11,10,NA,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Michael Vick,QB,16,19,13,14,12,16,NA,12,21,13,NA,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Benjamin Watson,TE,2,3,1,2,4,1,1,3,1,NA,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Brent Celek,TE,3,3,8,5,2,2,NA,4,11,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DeSean Jackson,WR,12,14,14,12,14,12,NA,NA,8,12,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
35,LeSean McCoy,RB,18,17,16,17,15,16,NA,17,19,14,16,NA,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Jeremy Maclin,WR,12,11,NA,NA,6,6,NA,12,13,NA,11,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Greg Little,WR,8,NA,10,NA,11,11,9,12,NA,NA,NA,NA,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Alex Henery,PK,6,9,11,11,8,9,NA,2,6,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brandon Weeden,QB,6,9,9,7,10,10,13,14,7,NA,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Trent Richardson,RB,14,9,10,15,16,16,16,5,16,NA,14,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Denver Defense,DST,4,4,2,4,-1,4,NA,3,7,7,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Pittsburgh Defense,DST,4,8,4,NA,6,4,7,3,1,9,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Peyton Manning,QB,15,16,16,21,17,17,NA,26,23,17,21,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Charlie Batch,QB,0,0,0,NA,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Willis McGahee,RB,6,12,6,11,12,7,NA,18,16,16,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Ben Roethlisberger,QB,16,11,15,NA,16,16,18,24,18,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Heath Miller,TE,3,3,4,NA,4,3,4,13,6,11,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Shaun Suisham,PK,3,11,3,NA,11,6,9,12,8,10,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Matt Prater,PK,11,3,11,9,6,11,NA,13,10,9,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Jacob Tamme,TE,4,10,11,9,10,9,NA,9,8,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Mike Wallace,WR,13,14,13,NA,13,14,13,17,14,15,5,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Isaac Redman,RB,12,NA,NA,NA,NA,2,NA,NA,7,14,6,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Jonathan Dwyer,RB,4,13,13,NA,NA,NA,3,5,NA,3,10,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Demaryius Thomas,WR,12,15,16,13,13,16,NA,17,18,14,17,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Eric Decker,WR,11,NA,NA,14,8,6,NA,14,12,13,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Antonio Brown,WR,16,NA,13,NA,13,14,13,17,15,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Detroit Defense,DST,8,3,6,4,NA,2,2,4,5,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
58,St. Louis Defense,DST,3,7,5,6,7,9,6,1,NA,4,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jason Hanson,PK,9,6,9,11,NA,6,10,8,9,11,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Steven Jackson,RB,17,12,6,11,8,6,12,5,NA,4,21,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Tony Scheffler,TE,1,1,NA,NA,NA,1,3,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Calvin Johnson,WR,23,18,18,16,NA,17,16,17,NA,16,24,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kevin Smith,RB,13,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Matthew Stafford,QB,17,22,22,17,NA,18,10,13,19,16,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Brandon Pettigrew,TE,4,10,11,11,NA,5,5,4,11,4,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Sam Bradford,QB,9,9,10,9,9,9,10,16,NA,4,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Lance Kendricks,TE,2,2,1,1,1,1,1,2,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Greg Zuerlein,PK,10,13,13,5,13,10,8,8,NA,6,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Green Bay Defense,DST,4,4,6,4,4,2,8,9,11,NA,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
70,San Francisco Defense,DST,3,4,5,6,6,5,10,11,NA,10,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
71,David Akers,PK,8,6,11,11,12,9,8,5,NA,6,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Alex Smith,QB,10,15,12,12,13,17,10,8,NA,14,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Cedric Benson,RB,10,5,6,15,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Aaron Rodgers,QB,21,24,21,25,23,21,19,21,19,NA,22,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Frank Gore,RB,15,15,16,16,23,15,15,17,NA,17,16,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Vernon Davis,TE,11,9,12,10,11,12,4,9,NA,10,3,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Greg Jennings,WR,15,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Mason Crosby,PK,7,12,12,10,4,9,3,7,6,NA,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Jordy Nelson,WR,15,13,14,13,13,12,16,NA,10,NA,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Jermichael Finley,TE,9,9,9,11,10,1,5,3,3,NA,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Michael Crabtree,WR,6,14,7,8,7,13,12,NA,NA,12,11,13,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
82,New England Defense,DST,6,5,6,5,5,6,5,7,NA,4,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Tennessee Defense,DST,0,2,1,-1,2,5,-4,0,1,-3,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Matt Hasselbeck,QB,0,2,0,0,15,15,17,16,9,0,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Tom Brady,QB,19,23,18,17,19,17,16,16,NA,24,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Brandon Lloyd,WR,12,15,14,14,13,11,5,9,NA,11,5,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Wes Welker,WR,10,NA,6,11,11,9,10,10,NA,15,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Rob Bironas,PK,3,5,8,5,5,8,9,9,7,5,NA,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Nate Washington,WR,13,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Stephen Gostkowski,PK,9,7,9,9,12,9,10,9,NA,11,10,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Chris Johnson,RB,18,9,7,4,7,7,18,17,7,13,NA,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Jared Cook,TE,9,9,9,1,3,10,4,3,3,3,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Rob Gronkowski,TE,13,15,14,11,13,13,13,13,NA,14,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Jake Locker,QB,13,11,14,17,NA,NA,NA,NA,NA,11,NA,15,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Stevan Ridley,RB,12,14,17,14,14,13,16,14,NA,17,17,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Kendall Wright,WR,7,NA,NA,NA,NA,10,10,9,12,NA,NA,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Atlanta Defense,DST,4,3,1,5,6,4,NA,11,8,3,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Kansas City Defense,DST,3,6,0,3,2,4,NA,2,3,0,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Tony Gonzalez,TE,3,5,4,11,13,11,NA,6,10,12,11,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Matt Bryant,PK,6,9,6,7,7,9,NA,9,7,10,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Michael Turner,RB,13,13,11,11,13,13,NA,12,11,17,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Roddy White,WR,15,13,13,14,15,9,NA,14,12,17,14,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Matt Cassel,QB,9,8,11,9,10,NA,NA,NA,8,7,8,NA,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Dwayne Bowe,WR,11,10,13,15,12,14,NA,15,13,11,13,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Matt Ryan,QB,15,15,16,20,22,17,NA,17,19,26,20,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Jamaal Charles,RB,16,14,11,17,17,17,NA,18,12,16,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Ryan Succop,PK,8,5,8,8,8,8,NA,10,10,2,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Tony Moeaki,TE,1,1,NA,1,1,NA,NA,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Julio Jones,WR,15,15,16,13,14,12,NA,13,13,16,NA,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Jacksonville Defense,DST,4,3,3,3,4,NA,-3,-2,0,0,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Minnesota Defense,DST,10,5,3,4,7,7,10,2,6,1,NA,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Josh Scobee,PK,5,5,10,10,10,NA,13,7,8,5,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Marcedes Lewis,TE,2,2,9,4,3,NA,2,2,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Adrian Peterson,RB,5,17,15,22,18,16,17,23,14,23,NA,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
115,John Carlson,TE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Rashad Jennings,RB,14,NA,NA,NA,NA,NA,NA,9,13,14,5,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Percy Harvin,WR,12,13,14,8,13,14,15,10,13,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Toby Gerhart,RB,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Christian Ponder,QB,9,9,9,12,16,11,11,13,10,9,NA,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Blaine Gabbert,QB,9,9,8,6,7,NA,10,7,9,10,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Kyle Rudolph,TE,4,4,5,10,10,10,3,10,2,10,NA,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Justin Blackmon,WR,11,NA,NA,NA,9,NA,NA,NA,NA,9,NA,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Blair Walsh,PK,8,8,11,6,12,11,8,9,5,6,NA,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
124,New Orleans Defense,DST,6,2,4,-1,0,NA,0,-7,3,-6,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Washington Defense,DST,0,5,5,4,2,6,-3,0,3,NA,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Drew Brees,QB,22,22,22,20,22,NA,23,22,22,18,22,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Billy Cundiff,PK,8,8,11,6,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Darren Sproles,RB,11,12,13,11,10,NA,12,11,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Marques Colston,WR,13,13,14,14,15,NA,17,15,15,15,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Pierre Thomas,RB,10,5,6,5,6,NA,5,5,12,11,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Fred Davis,TE,5,5,2,5,3,10,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Pierre Garcon,WR,11,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Garrett Hartley,PK,12,9,7,6,9,NA,6,12,9,6,13,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Jimmy Graham,TE,14,14,13,11,12,NA,NA,4,12,12,15,13,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Robert Griffin III,QB,12,15,20,22,22,10,21,21,22,NA,21,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Alfred Morris,RB,8,13,7,12,15,14,15,16,16,NA,17,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Buffalo Defense,DST,8,7,8,1,3,5,4,NA,-1,-5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
138,New York Jets Defense,DST,6,6,8,4,-1,4,-3,4,NA,3,4,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Rian Lindell,PK,8,11,8,11,8,8,10,NA,8,8,11,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Ryan Fitzpatrick,QB,10,10,11,14,14,10,19,NA,11,16,17,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Santonio Holmes,WR,13,13,14,14,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Fred Jackson,RB,14,NA,NA,6,13,6,13,NA,4,NA,NA,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Scott Chandler,TE,2,10,6,11,3,4,11,NA,7,9,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Nick Folk,PK,11,3,8,11,8,6,8,8,NA,10,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Steve Johnson,WR,13,9,13,15,12,12,13,NA,11,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Mark Sanchez,QB,11,13,9,14,8,9,15,11,NA,9,9,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Shonn Greene,RB,7,16,12,5,12,13,7,13,NA,7,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Tim Tebow,QB,3,2,1,1,1,7,NA,1,NA,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,C.J. Spiller,RB,6,17,17,4,8,11,18,NA,9,10,12,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Arizona Defense,DST,7,1,7,10,8,5,7,7,6,NA,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Seattle Defense,DST,5,3,3,6,5,1,8,3,10,10,NA,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Jay Feely,PK,8,5,8,8,8,3,10,4,10,NA,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Larry Fitzgerald,WR,16,17,14,14,14,14,13,10,12,NA,12,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Marshawn Lynch,RB,11,14,13,14,14,14,7,14,15,23,NA,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Zach Miller,TE,1,2,NA,2,3,3,1,1,2,2,NA,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Sidney Rice,WR,11,NA,12,11,10,11,9,10,11,11,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Steven Hauschka,PK,5,8,8,8,8,5,4,8,5,6,NA,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Ryan Williams,RB,4,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Russell Wilson,QB,9,9,9,8,9,9,7,10,9,9,NA,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Carolina Defense,DST,6,1,3,2,6,NA,3,3,3,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Tampa Bay Defense,DST,-1,1,2,3,NA,5,3,2,2,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Steve Smith,WR,14,14,16,14,15,NA,12,8,16,13,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Dallas Clark,TE,2,2,4,2,NA,2,1,2,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Vincent Jackson,WR,16,14,14,10,NA,16,17,16,15,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
165,DeAngelo Williams,RB,17,11,8,13,11,NA,10,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Greg Olsen,TE,3,4,3,6,7,NA,4,4,12,4,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Justin Medlock,PK,9,11,9,8,8,NA,3,4,6,8,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Connor Barth,PK,11,8,5,NA,NA,11,12,8,12,9,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Josh Freeman,QB,11,11,9,15,NA,10,16,12,18,15,17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Cam Newton,QB,21,16,22,13,14,NA,19,10,20,19,14,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Doug Martin,RB,14,17,16,15,NA,11,17,14,16,18,25,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Houston Defense,DST,10,10,7,9,11,4,7,NA,10,8,13,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Miami Defense,DST,5,4,7,4,5,7,NA,5,5,5,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Shayne Graham,PK,6,8,6,7,9,9,9,NA,11,8,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Andre Johnson,WR,16,14,13,15,13,14,8,NA,13,13,15,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Matt Schaub,QB,10,10,12,17,11,16,11,NA,15,9,17,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Reggie Bush,RB,15,17,16,12,17,16,NA,17,17,22,12,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Anthony Fasano,TE,3,2,2,3,2,2,NA,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Owen Daniels,TE,4,4,5,10,4,11,12,NA,11,NA,11,11,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Dan Carpenter,PK,10,8,8,5,8,8,NA,8,6,10,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Arian Foster,RB,16,21,16,18,24,17,24,NA,25,16,24,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Ben Tate,RB,11,NA,12,11,2,3,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Daniel Thomas,RB,4,NA,NA,4,NA,NA,NA,3,9,3,13,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Ryan Tannehill,QB,8,9,8,8,9,8,NA,9,11,18,11,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Oakland Defense,DST,1,7,3,3,NA,2,4,4,-1,0,-3,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
186,San Diego Defense,DST,4,6,4,4,1,5,NA,7,11,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
